,object id,district,street,year,month,hour of day,weekday,category,accident type,accident type 2,light situation,bike involved,car involved,pedestrian involved,motor bike involved,big track involved,other vehicle involved,road condition,district name,category name,accident detail,accident type detail,light condition,road condition detail
10577,199880,5,Gartenfelder Straße,2019,10,12,7,3,6,4,0,0,1,1,0,0,0,0,Spandau,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Dry
10578,199881,9,Adlershof West,2019,9,9,6,2,5,2,0,0,1,0,0,0,0,1,Treptow-Köpenick,Accident with serious injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10579,199882,3,Helmholtzplatz,2019,9,9,6,3,0,5,0,1,0,0,0,1,0,1,Pankow,Accident with minor injuries,Others,Accident involving parked vehicles,Daylight,Wet/moist/slippery
10580,199883,7,Marienfelde Süd,2019,10,11,7,3,2,2,0,0,1,0,0,0,0,0,Tempelhof-Schöneberg,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Turning accident,Daylight,Dry
10581,199884,3,Weißer See,2019,10,11,7,3,5,3,0,0,1,0,0,0,0,1,Pankow,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Daylight,Wet/moist/slippery
10582,199885,1,Lützowstraße,2019,9,9,6,3,3,6,0,0,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with a vehicle traveling laterally in the same direction,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10583,199886,6,Feuerbachstraße,2019,10,7,7,3,5,2,1,0,1,0,0,0,0,1,Steglitz-Zehlendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Twilight,Wet/moist/slippery
10584,199887,5,Goltzstraße,2019,9,8,6,3,5,2,0,1,1,0,0,0,0,1,Spandau,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10585,199888,6,Dahlem,2019,10,6,7,3,5,3,2,0,1,0,0,0,0,1,Steglitz-Zehlendorf,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning/Crossing accident,Dark,Wet/moist/slippery
10586,199889,4,Leon-Jessel-Platz,2019,10,5,7,3,2,6,2,0,1,0,0,0,0,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Dark,Wet/moist/slippery
10587,199890,1,Karl-Marx-Allee,2019,10,4,7,3,5,2,2,0,1,0,0,0,0,1,Mitte,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Dark,Wet/moist/slippery
10588,199891,9,Adlershof West,2019,9,8,6,3,2,6,0,0,1,0,0,0,0,1,Treptow-Köpenick,Accident with minor injuries,Collision with the vehicle in front/waiting vehicle,Collision involving vehicles going in the same way,Daylight,Wet/moist/slippery
10589,199892,4,Karl-August-Platz,2019,10,19,7,3,1,5,2,1,1,0,0,0,0,1,Charlottenburg - Wilmersdorf,Accident with minor injuries,Collision with a moving/standing/parked vehicle,Accident involving parked vehicles,Dark,Wet/moist/slippery
10590,199893,8,Rixdorf,2019,9,8,6,3,5,2,0,1,1,0,0,0,0,1,Neukölln,Accident with minor injuries,Collision with a turning/crossing vehicle,Turning accident,Daylight,Wet/moist/slippery
10591,199894,10,Marzahner Promenade,2019,10,10,6,3,6,4,0,0,1,1,0,0,0,0,Marzahn-Hellersdorf,Accident with minor injuries,Collision between vehicle and pedestrian,Pedestrian crossing accident,Daylight,Dry
